# Time	Cd	Cl	Cm
4135.05144	1.921093954	9.59770601e-06	-9.509415075
4143.877445	1.920684056	9.643104709e-06	-9.507386075
4152.703451	1.920188685	9.757294768e-06	-9.504933991
4161.529457	1.919765964	9.651644376e-06	-9.502841519
4170.355463	1.919387302	9.750620276e-06	-9.500967147
4179.181468	1.919330681	9.778007509e-06	-9.500686871
4188.007474	1.919351556	9.818694922e-06	-9.500790203
4196.83348	1.918871972	9.82286553e-06	-9.498416261
4205.659486	1.918379248	9.848978097e-06	-9.495977279
4214.485491	1.917862786	1.009831465e-05	-9.493420789
4223.311497	1.918027507	9.998156242e-06	-9.494236161
4232.137503	1.917936339	1.004226284e-05	-9.493784878
4240.963508	1.917938444	1.016942623e-05	-9.4937953
4249.789514	1.917553123	1.021659028e-05	-9.491887957
4258.61552	1.91724009	1.076123915e-05	-9.490338445
4267.441526	1.916537789	8.922491852e-06	-9.486862056
4276.267531	1.915657766	9.29988091e-06	-9.482505944
4285.093537	1.915441955	1.021628835e-05	-9.481437676
4293.919543	1.915037048	9.969813577e-06	-9.479433387
4302.745548	1.914645184	1.010210927e-05	-9.477493661
4311.571554	1.914247066	1.012623667e-05	-9.475522975
4320.39756	1.913843947	1.013587052e-05	-9.473527539
4329.223566	1.913459379	1.014888782e-05	-9.471623928
4338.049571	1.913071607	1.015940073e-05	-9.469704456
4346.875577	1.912692423	1.017287741e-05	-9.467827492
4355.701583	1.912343496	1.017111979e-05	-9.466100304
4364.527588	1.912044157	1.017845522e-05	-9.464618578
